epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2126.72,0.79266,0.45597,1.08776,0.85384,0.80419,0.87237,0.58858,1.12878,0.60871,1.29224,0.006733,0.006733,0.006733
101,2148.25,0.77555,0.44891,1.08258,0.85714,0.82015,0.8738,0.58874,1.12698,0.60604,1.29139,0.0067,0.0067,0.0067
102,2169.23,0.78431,0.45319,1.09396,0.84934,0.8165,0.86704,0.58364,1.13597,0.61147,1.29845,0.006667,0.006667,0.006667
103,2189.92,0.76644,0.44552,1.08133,0.84712,0.82389,0.87297,0.58428,1.13068,0.61181,1.28768,0.006634,0.006634,0.006634
104,2210.73,0.76793,0.44189,1.08499,0.85151,0.82626,0.88008,0.59098,1.11501,0.60161,1.28567,0.006601,0.006601,0.006601
105,2231.61,0.79401,0.44844,1.08204,0.88029,0.81503,0.88324,0.59396,1.09695,0.59155,1.27157,0.006568,0.006568,0.006568
106,2252.87,0.77316,0.44189,1.07307,0.87216,0.81773,0.88453,0.59262,1.11297,0.59226,1.27156,0.006535,0.006535,0.006535
107,2273.99,0.7562,0.43819,1.07542,0.86009,0.81158,0.87013,0.58207,1.12519,0.60878,1.28523,0.006502,0.006502,0.006502
108,2295.15,0.77892,0.44132,1.07194,0.8405,0.83714,0.87543,0.5887,1.13092,0.60185,1.29469,0.006469,0.006469,0.006469
109,2315.93,0.77463,0.44478,1.0738,0.83649,0.85053,0.87883,0.58405,1.12821,0.60283,1.30081,0.006436,0.006436,0.006436
110,2336.75,0.76686,0.44043,1.0737,0.83743,0.82143,0.86827,0.58812,1.11509,0.61429,1.28383,0.006403,0.006403,0.006403
111,2358.11,0.7695,0.4412,1.07648,0.82728,0.83374,0.86598,0.5852,1.11761,0.6016,1.28793,0.00637,0.00637,0.00637
112,2379.03,0.76084,0.43888,1.07197,0.84273,0.83128,0.87232,0.58606,1.12828,0.61473,1.28746,0.006337,0.006337,0.006337
113,2400.53,0.75887,0.43707,1.07671,0.84586,0.82882,0.87461,0.58563,1.1362,0.62391,1.29823,0.006304,0.006304,0.006304
114,2421.85,0.75921,0.43571,1.07034,0.85821,0.81998,0.8807,0.59188,1.12466,0.59565,1.29972,0.006271,0.006271,0.006271
115,2442.67,0.76134,0.433,1.06472,0.85452,0.82467,0.88342,0.59285,1.12688,0.60651,1.30556,0.006238,0.006238,0.006238
116,2463.83,0.74466,0.42834,1.06334,0.8409,0.83317,0.87932,0.59181,1.12364,0.60165,1.29439,0.006205,0.006205,0.006205
117,2485.02,0.75392,0.42862,1.06751,0.84357,0.84344,0.87813,0.58912,1.12625,0.60122,1.29425,0.006172,0.006172,0.006172
118,2505.89,0.7442,0.42355,1.0562,0.82978,0.82512,0.8707,0.5859,1.12798,0.60491,1.29255,0.006139,0.006139,0.006139
119,2527.38,0.75194,0.42987,1.06387,0.82493,0.85884,0.87722,0.59071,1.11734,0.60618,1.29595,0.006106,0.006106,0.006106
120,2548.04,0.74957,0.42861,1.06073,0.86077,0.83005,0.87357,0.58733,1.11945,0.59518,1.29696,0.006073,0.006073,0.006073
121,2568.89,0.7361,0.42378,1.05333,0.84412,0.83867,0.8759,0.58313,1.1118,0.59966,1.28443,0.00604,0.00604,0.00604
122,2590.06,0.73558,0.41704,1.05857,0.82818,0.84294,0.86769,0.58633,1.11264,0.61028,1.28189,0.006007,0.006007,0.006007
123,2611.14,0.74449,0.42436,1.05569,0.84192,0.84236,0.87631,0.59241,1.12386,0.61661,1.29688,0.005974,0.005974,0.005974
124,2632.8,0.72691,0.41806,1.05414,0.82537,0.84852,0.87608,0.59392,1.12132,0.61333,1.29596,0.005941,0.005941,0.005941
125,2653.4,0.72807,0.41505,1.05914,0.84218,0.8202,0.87375,0.58674,1.12956,0.62288,1.31189,0.005908,0.005908,0.005908
